"","Key","Value","freq"
"86735","' and i","said",5
"74774","' imperial stout","and",5
"4641","' s and","'",29
"60927","' that was","the",6
"77746","'what are you","doing",5
"143499","a all time","advantage",4
"120534","a article in","the",4
"81205","a b and","c",5
"135981","a baby and","i",4
"108434","a baby at","the",4
"142051","a baby girl","in",4
"99482","a baby in","the",4
"89273","a baby is","born",5
"132546","a baby on","the",4
"7939","a bachelor's degree","in",21
"47051","a bachelor of","science",7
"39710","a bachelor s","degree",8
"62713","a back seat","to",6
"17072","a back to","back",13
"36589","a back up","plan",8
"30500","a bad case","of",9
"70110","a bad day","i",5
"120183","a bad experience","with",4
"43681","a bad habit","of",7
"86734","a bad hair","day",5
"67573","a bad idea","to",6
"115417","a bad month","for",4
"111478","a bad taste","in",4
"36744","a bad thing","but",8
"82016","a bad time","for",5
"52307","a bad way","to",7
"63775","a badge of","honor",6
"22072","a bag full","of",11
"36854","a bag of","chips",8
"142348","a bait and","switch",4
"14976","a baking sheet","with",14
"112592","a baking tray","with",4
"75185","a balance between","the",5
"88236","a balanced and","healthful",5
"48337","a balanced budget","amendment",7
"139773","a ball in","the",4
"94719","a band called","the",5
"74307","a bank of","america",5
"55859","a bar of","soap",6
"134678","a base here","in",4
"134404","a base in","the",4
"65751","a base salary","of",6
"69063","a baseball bat","and",6
"118862","a batch of","cream",4
"46255","a battle of","the",7
"115635","a bear with","a",4
"121003","a beast in","the",4
"8664","a beautiful day","in",20
"131445","a beautiful spring","day",4
"115823","a beautiful thing","to",4
"90187","a beautiful young","woman",5
"63932","a bed and","breakfast",6
"69275","a bed of","roses",6
"37884","a beeline for","the",8
"36502","a beer and","a",8
"68191","a beer or","two",6
"126804","a before and","after",4
"120130","a beginning and","an",4
"38556","a behind the","scenes",8
"99777","a belief in","the",4
"138955","a bend in","the",4
"113494","a benefit for","the",4
"137078","a berth in","the",4
"124818","a best selling","book",4
"13058","a better chance","of",16
"111790","a better feel","for",4
"119220","a better fit","for",4
"85059","a better future","for",5
"5589","a better job","of",26
"49213","a better life","and",7
"87538","a better look","at",5
"138946","a better man","than",4
"126905","a better person","and",4
"46122","a better place","to",7
"112209","a better position","to",4
"21121","a better sense","of",12
"35037","a better than","expected",8
"6627","a better understanding","of",23
"102553","a better use","of",4
"81071","a better view","of",5
"4540","a better way","to",29
"92688","a bid for","the",5
"31927","a big bag","of",9
"68427","a big believer","in",6
"110096","a big big","big",4
"78760","a big bowl","of",5
"95897","a big box","of",5
"12836","a big chunk","of",16
"140560","a big day","for",4
"15191","a big deal","for",14
"23530","a big difference","between",11
"88292","a big factor","in",5
"488","a big fan","of",99
"55218","a big game","for",6
"59793","a big happy","birthday",6
"58116","a big hit","with",6
"67301","a big hug","and",6
"34567","a big impact","on",9
"86753","a big increase","in",5
"85141","a big no","no",5
"662","a big part","of",82
"61702","a big piece","of",6
"101626","a big plus","for",4
"142578","a big pot","of",4
"42143","a big problem","for",8
"114511","a big proponent","of",4
"140836","a big question","mark",4
"36663","a big reason","why",8
"15051","a big role","in",14
"56631","a big screen","tv",6
"49407","a big shout","out",7
"117607","a big slice","of",4
"37389","a big smile","on",8
"84614","a big step","in",5
"2817","a big thank","you",39
"11704","a big thanks","to",17
"68293","a big thing","for",6
"132118","a big welcome","to",4
"29511","a big win","for",9
"101654","a big year","for",4
"66887","a bigger share","of",6
"125954","a bike ride","and",4
"35946","a bill in","the",8
"135117","a bill sponsored","by",4
"2052","a bill that","would",46
"89939","a billion dollars","in",5
"135300","a bipartisan group","of",4
"83061","a bird on","it",5
"41462","a birthday card","for",8
"102757","a birthday party","and",4
"31748","a bit about","the",9
"16033","a bit and","then",14
"121567","a bit as","well",4
"136847","a bit at","the",4
"33992","a bit but","i",9
"137651","a bit carried","away",4
"38605","a bit different","than",8
"142662","a bit difficult","to",4
"103124","a bit disappointed","when",4
"67978","a bit from","the",6
"120635","a bit harder","to",4
"71448","a bit higher","than",5
"11249","a bit in","the",17
"106112","a bit larger","than",4
"7732","a bit like","a",21
"38879","a bit longer","than",8
"6549","a bit more","than",24
"116228","a bit odd","but",4
"28","a bit of","a",376
"7050","a bit on","the",23
"11761","a bit out","of",17
"17735","a bit over","the",13
"45164","a bit smaller","than",7
"27140","a bit so","i",10
"11448","a bit too","much",17
"72717","a bit with","a",5
"35022","a bite out","of",8
"19109","a bite to","eat",12
"4250","a black and","white",30
"82896","a black t","shirt",5
"102014","a blank canvas","to",4
"94209","a blanket of","snow",5
"63571","a blast at","the",6
"49847","a blast from","the",7
"104929","a blast playing","with",4
"104368","a blast with","the",4
"58490","a blaze of","glory",6
"64803","a blender or","food",6
"21776","a blessing and","a",11
"46564","a blessing in","disguise",7
"51117","a blessing to","be",7
"14602","a blind eye","to",15
"74180","a blink of","an",5
"111979","a blister on","his",4
"65264","a block away","from",6
"32579","a block from","the",9
"139398","a blog about","it",4
"24489","a blog post","about",11
"53007","a blood alcohol","level",7
"82522","a blood clot","in",5
"61178","a blow to","the",6
"32775","a board member","of",9
"36733","a body of","work",8
"82462","a body that","is",5
"98979","a boil and","cook",4
"43932","a boil in","a",7
"50840","a boil over","medium",7
"93515","a boil then","reduce",5
"97746","a bone in","his",4
"68729","a bone to","pick",6
"19331","a book about","the",12
"29355","a book by","its",9
"104380","a book called","the",4
"94313","a book is","a",5
"134013","a book like","this",4
"36387","a book on","the",8
"55002","a book or","a",6
"19702","a book that","i",12
"111753","a boost from","the",4
"8070","a bottle of","wine",21
"134380","a bottle or","two",4
"36440","a bouquet of","flowers",8
"112345","a bow and","arrow",4
"57065","a bowl and","add",6
"47056","a bowl combine","the",7
"47934","a bowl full","of",7
"144627","a bowl game","for",4
"52452","a bowl of","cereal",7
"143972","a bowl whisk","together",4
"63616","a box full","of",6
"20720","a box of","chocolates",12
"126637","a boy and","his",4
"74930","a boy in","the",5
"35692","a boy or","a",8
"97754","a boycott of","the",4
"67720","a branch of","the",6
"94598","a brand new","day",5
"143674","a breach of","contract",4
"60730","a break for","a",6
"8170","a break from","the",21
"17900","a break in","the",13
"116749","a breast cancer","survivor",4
"8071","a breath of","fresh",21
"125531","a bricks and","mortar",4
"129503","a bridge over","the",4
"140752","a bridge too","far",4
"132238","a brief description","of",4
"72638","a brief history","of",5
"129713","a brief look","at",4
"73813","a brief period","of",5
"81652","a bright spot","for",5
"22950","a broad range","of",11
"101115","a broad spectrum","of",4
"92850","a broken bone","in",5
"72895","a broken leg","and",5
"55210","a brown paper","bag",6
"89852","a bucket of","water",5
"144886","a budget deficit","of",4
"143368","a bullet hole","in",4
"4544","a bunch of","people",29
"111589","a burger and","fries",4
"45001","a burglary was","reported",7
"61689","a business in","the",6
"133161","a business model","that",4
"59365","a business trip","to",6
"126996","a busy week","of",4
"131418","a button on","a",4
"139275","a buy rating","on",4
"101448","a by inch","baking",4
"43667","a by product","of",7
"103583","a cab to","the",4
"44490","a call about","a",7
"31432","a call for","comment",9
"11678","a call from","the",17
"104504","a call out","to",4
"19534","a call seeking","comment",12
"42068","a call to","action",8
"32964","a candidate for","the",9
"71885","a candidate in","the",5
"73306","a candle to","the",5
"67080","a car accident","in",6
"120492","a car and","a",4
"100976","a car at","the",4
"106396","a car full","of",4
"48766","a car in","the",7
"79589","a car that","was",5
"136331","a car to","get",4
"83170","a car with","a",5
"111721","a card from","the",4
"52466","a card i","made",7
"39731","a card or","project",8
"67551","a card using","the",6
"72914","a card with","the",5
"97940","a cardboard box","and",4
"28567","a care in","the",10
"20243","a career as","a",12
"10701","a career high","points",18
"79691","a career in","the",5
"21855","a case by","case",11
"116466","a case for","the",4
"19303","a case in","point",12
"142449","a case like","this",4
"13926","a case of","the",15
"52808","a case that","has",7
"83156","a cast iron","skillet",5
"140805","a cat with","a",4
"135841","a cause for","concern",4
"93159","a cause of","death",5
"130150","a cd release","show",4
"80513","a cease and","desist",5
"38798","a celebration of","the",8
"112346","a cell phone","and",4
"73415","a centerpiece of","the",5
"40042","a central role","in",8
"143890","a ceremony at","the",4
"2150","a certain amount","of",45
"128763","a certain degree","of",4
"20017","a certain kind","of",12
"61705","a certain lack","of",6
"8346","a certain level","of",20
"18396","a certain number","of",13
"131532","a certain point","in",4
"9188","a certain type","of",19
"32626","a certified financial","planner",9
"83982","a certified public","accountant",5
"77858","a chain of","events",5
"27519","a challenge for","me",10
"141028","a challenge in","the",4
"89345","a challenge that","is",5
"32461","a challenge to","the",9
"93548","a champagne toast","at",5
"24403","a chance at","a",11
"17342","a chance for","a",13
"61360","a chance in","the",6
"29978","a chance of","winning",9
"74449","a chance on","the",5
"460","a chance to","win",102
"91412","a change for","the",5
"31532","a change from","the",9
"4142","a change in","the",31
"13203","a change of","heart",16
"93004","a change to","the",5
"96805","a changing of","the",4
"121609","a character from","the",4
"66596","a character in","a",6
"57870","a character who","is",6
"40802","a charge that","he",8
"77196","a charitable organization","that",5
"107659","a check for","the",4
"75248","a check to","the",5
"93028","a chest x","ray",5
"96222","a child has","been",4
"88125","a child i","was",5
"48152","a child in","the",7
"16604","a child of","god",13
"46988","a child on","the",7
"120668","a child that","is",4
"31609","a child who","is",9
"29720","a child with","a",9
"52904","a children s","book",7
"62089","a chill in","the",6
"120277","a chocolate chip","cookie",4
"98262","a choice between","two",4
"137335","a choice but","falling",4
"107943","a choice i","would",4
"114631","a choice in","the",4
"38888","a choice to","make",8
"132257","a choose your","own",4
"45033","a cinco de","mayo",7
"133068","a citizen of","the",4
"143917","a city council","vote",4
"129649","a city that","has",4
"94397","a city with","a",5
"119260","a civil rights","complaint",4
"97235","a class at","the",4
"129614","a class by","itself",4
"70194","a classic case","of",5
"27601","a classic example","of",10
"116894","a clause in","the",4
"53718","a clean bill","of",6
"131918","a cleaner better","stronger",4
"107015","a clear idea","of",4
"70771","a clear indication","that",5
"89089","a clear message","to",5
"34677","a clear picture","of",9
"131538","a clear shot","at",4
"104984","a clear view","of",4
"38873","a clearer picture","of",8
"111246","a clip of","the",4
"18005","a close eye","on",13
"32779","a close friend","of",9
"70796","a close look","at",5
"108794","a close relationship","with",4
"15800","a close up","of",14
"98110","a closed door","meeting",4
"82601","a closely guarded","secret",5
"4800","a closer look","at",28
"113206","a closet full","of",4
"123067","a cloud in","the",4
"84957","a cloud of","dust",5
"28830","a clue as","to",10
"24392","a co founder","of",11
"136259","a co owner","of",4
"71508","a co worker","who",5
"139340","a coffee table","and",4
"71985","a collection of","essays",5
"143339","a collision course","with",4
"18705","a columnist for","the",13
"7424","a combination of","the",22
"72813","a combined total","of",5
"113727","a come to","jesus",4
"61392","a comment about","how",6
"22561","a comment and","let",11
"92429","a comment letting","me",5
"19932","a comment on","this",12
"101300","a comment with","your",4
"131089","a commercial for","the",4
"63841","a commercial real","estate",6
"79003","a company owned","by",5
"69428","a company spokesman","said",6
"47267","a company that","is",7
"105659","a comparison of","the",4
"32865","a complaint with","the",9
"62095","a complete and","utter",6
"136464","a complete game","shutout",4
"57711","a complete lack","of",6
"49372","a complete list","of",7
"66786","a complete overhaul","of",6
"125336","a complete surprise","to",4
"53297","a complete waste","of",7
"81419","a completely different","person",5
"100979","a complex array","of",4
"143985","a comprehensive book","about",4
"111358","a computer science","degree",4
"143459","a concert and","meet",4
"18304","a concerted effort","to",13
"86230","a condition in","which",5
"4448","a conference call","with",30
"46155","a confession to","make",7
"56134","a conflict between","the",6
"9194","a conflict of","interest",19
"62483","a connection between","the",6
"107032","a connection to","the",4
"49940","a conscious decision","to",7
"18318","a conscious effort","to",13
"49496","a consent agreement","with",7
"57935","a consequence of","the",6
"140466","a considerable amount","of",4
