"","Key","Value","freq"
"3822","'","s",359
"24258","''","he",69
"137283","'are","you",12
"49574","'cause","i",34
"150683","'do","you",11
"145553","'em","out",11
"256086","'er","done",6
"155301","'how","do",10
"84112","'i","don't",20
"179500","'i'm","not",9
"102989","'if","you",16
"204321","'in","the",8
"219960","'is","this",7
"224614","'it","is",7
"231598","'n","roll",7
"29291","'n'","roll",57
"239323","'no","no",7
"209411","'nuff","said",8
"230094","'oh","my",7
"208244","'round","the",8
"27034","'s","and",62
"165714","'thank","you",10
"51203","'this","is",33
"250935","'til","i",6
"214076","'tis","the",7
"243727","'we're","going",6
"142398","'what","are",11
"231988","'who","is",7
"228923","'why","are",7
"107924","'you","know",15
"51","a","lot",8594
"157880","a's","and",10
"154789","à","la",10
"37250","ø","i",45
"213228","øif","you",7
"273709","øin","the",6
"229667","ã","â",7
"195218","aa","intersectional",8
"181750","aaa","columbus",9
"45137","aaron","rodgers",37
"189784","ab","initio",8
"182553","aback","by",9
"71218","abandon","the",24
"46829","abandoned","the",36
"105677","abandoning","the",16
"115319","abandonment","of",14
"204729","abbey","road",8
"210445","abbott","and",8
"169135","abby","and",10
"56840","abc","family",30
"209173","abc's","good",8
"266569","abdication","of",6
"214360","abdomen","and",7
"149687","abducted","by",11
"115907","abdul","jabbar",14
"238650","abdur","raheem",7
"135949","abercrombie","fitch",12
"210455","aberdeen","proving",8
"38241","abide","by",44
"247842","abides","by",6
"52119","abilities","and",32
"899","ability","to",1177
"102","able","to",5445
"234171","ablin","chief",7
"230479","abnormalities","in",7
"24453","aboard","the",68
"278508","abode","lovers",6
"129096","abolish","the",13
"223136","abolished","the",7
"231273","abolishing","the",7
"122459","abolition","of",13
"55932","abortion","rights",30
"126574","abortions","and",13
"143959","abound","in",11
"63","about","the",7553
"2902","above","the",444
"24812","abraham","lincoln",67
"210661","abreast","of",8
"67801","abroad","and",25
"230772","abs","and",7
"10742","absence","of",147
"46169","absent","from",37
"157667","absentee","ballots",10
"74761","absolute","best",22
"11285","absolutely","no",141
"42693","absorb","the",40
"118968","absorbed","by",14
"188519","absorbing","the",9
"164598","absorption","of",10
"137904","abstain","from",12
"159061","absurd","and",10
"113764","absurdity","of",15
"173132","abt","the",9
"92622","abu","dhabi",18
"22114","abundance","of",75
"162272","abundant","life",10
"154285","abundantly","clear",11
"16392","abuse","and",100
"78316","abused","by",21
"164250","abuses","in",10
"168327","abusing","the",10
"157542","abusive","to",10
"262654","abyss","of",6
"160566","ac","dc",10
"61529","academic","year",27
"83561","academics","and",20
"17390","academy","of",95
"115947","accelerate","the",14
"104141","accent","and",16
"88307","accented","with",19
"82965","accents","and",20
"202975","accentuate","the",8
"252221","accentuates","the",6
"8518","accept","the",180
"39101","acceptable","to",43
"26520","acceptance","of",63
"22765","accepted","the",73
"37641","accepting","the",45
"97553","accepts","the",17
"1470","access","to",789
"223310","accessed","the",7
"173009","accessibility","of",9
"34245","accessible","to",49
"146837","accessing","the",11
"125971","accessories","and",13
"190702","accessorized","with",8
"31690","accident","and",53
"91203","accidents","and",18
"180310","acclimated","to",9
"46192","accommodate","the",37
"219292","accommodation","for",7
"248661","accommodations","for",6
"8110","accompanied","by",188
"159499","accompanies","the",10
"186232","accompaniment","to",9
"56325","accompany","the",30
"127567","accompanying","the",13
"70012","accomplish","that",24
"90936","accomplished","in",18
"216892","accomplishment","for",7
"90807","accomplishments","and",18
"112741","accord","with",15
"28261","accordance","with",59
"123","according","to",4822
"269959","accordingly","and",6
"8271","account","for",185
"79371","accountability","and",21
"40018","accountable","for",42
"248583","accountant","and",6
"258489","accountants","and",6
"14628","accounted","for",111
"45210","accounting","for",37
"20919","accounts","of",79
"186419","accumulated","in",9
"80233","accumulation","of",21
"74775","accuracy","of",22
"55365","accurate","and",31
"157851","accurately","reflect",10
"183455","accusation","that",9
"34906","accusations","of",48
"124953","accuse","the",13
"3009","accused","of",433
"166840","accuses","the",10
"74269","accusing","the",23
"13718","accustomed","to",117
"116321","ace","of",14
"107809","ache","and",15
"86831","aches","and",19
"26495","achieve","the",63
"53039","achieved","by",32
"68308","achievement","in",25
"149601","achievements","and",11
"143600","achieving","your",11
"155375","achilles","heel",10
"208664","aching","to",8
"77926","acid","and",22
"78649","acidity","and",21
"19383","acknowledge","that",85
"11208","acknowledged","that",142
"175760","acknowledgement","of",9
"40311","acknowledges","that",42
"95434","acknowledging","that",17
"122954","acknowledgment","of",13
"123121","acl","in",13
"275055","aclu","of",6
"177619","acne","and",9
"246239","acorn","squash",6
"271958","acosta","said",6
"64318","acoustic","guitar",26
"128827","acquaintance","of",13
"43172","acquainted","with",39
"65101","acquire","a",26
"42817","acquired","by",39
"110376","acquiring","the",15
"28651","acquisition","of",59
"135875","acquisitions","and",12
"163581","acquitted","of",10
"70439","acre","site",24
"11098","acres","of",143
"403","across","the",2090
"66874","acrylic","paint",25
"4377","act","of",320
"68249","acta","said",25
"40581","acted","as",42
"274604","actin","like",6
"28037","acting","as",60
"11077","action","and",143
"26872","actions","of",62
"118642","activate","the",14
"252673","activating","the",6
"16941","active","in",97
"106166","actively","involved",16
"281584","activism","and",6
"59865","activist","who",28
"51541","activists","and",33
"19082","activities","and",87
"23098","activity","and",72
"32780","actor","in",51
"41723","actors","and",41
"42479","actress","in",40
"14475","acts","of",112
"149513","actual","birthday",11
"6228","actually","a",237
"160648","acupuncture","and",10
"277042","acura","tl",6
"126387","acutely","aware",13
"38221","ad","for",44
"29999","adam","and",56
"142459","adamant","that",11
"38737","adams","said",44
"30423","adapt","to",55
"27348","adaptation","of",61
"148876","adaptations","of",11
"22328","adapted","from",75
"108769","adapting","to",15
"1517","add","the",766
"205573","addams","family",8
"4285","added","to",327
"194702","addendum","to",8
"155898","addict","and",10
"11177","addicted","to",142
"47880","addiction","to",35
"201585","addictions","and",8
"250469","addicts","in",6
"5954","adding","that",246
"158183","addison","reed",10
"1312","addition","to",875
"36455","additional","information",46
"61277","additionally","the",28
"42582","additions","to",40
"7294","address","the",207
"34172","addressed","the",49
"61126","addresses","the",28
"27455","addressing","the",61
"21342","adds","a",78
"254728","adelman","said",6
"66422","adept","at",25
"167549","adequate","to",10
"30638","adhere","to",55
"127186","adhered","to",13
"91075","adherence","to",18
"167141","adheres","to",10
"113584","adhering","to",15
"189419","adidas","america",8
"30202","adjacent","to",56
"213771","adjectives","to",7
"264215","adjoining","the",6
"179240","adjunct","professor",9
"26601","adjust","to",63
"161516","adjustable","rate",10
"71106","adjusted","to",24
"68987","adjusting","to",24
"92919","adjustment","to",18
"120620","adjustments","to",14
"158360","adjusts","to",10
"269577","adjutant","general",6
"281125","adler","said",6
"131809","administer","the",12
"136256","administered","by",12
"20014","administration","and",83
"51250","administrative","leave",33
"80572","administrator","for",21
"101425","administrators","and",16
"60273","admiration","for",28
"43122","admire","the",39
"62214","admired","the",27
"234681","admirer","of",7
"134177","admiring","the",12
"25074","admission","is",67
"6037","admit","that",243
"44572","admits","that",38
"12521","admitted","to",128
"85922","admittedly","i",19
"79308","admitting","that",21
"99604","ado","here",17
"151151","adolescence","and",11
"207761","adolf","hitler",8
"28418","adopt","a",59
"36651","adopted","a",46
"90060","adopting","the",19
"51559","adoption","of",33
"144569","adoptive","parents",11
"170162","adopts","a",9
"73012","adorable","and",23
"220173","adoration","and",7
"61661","adore","the",27
"179789","adored","the",9
"47183","adorned","with",36
"262212","adp","said",6
"188352","adreian","payne",9
"132259","adrenaline","rush",12
"120982","adrian","peterson",14
"182411","adrienne","rich",9
"50136","ads","and",34
"41076","adult","and",41
"216742","adulthood","and",7
"21794","adults","and",76
"18837","advance","to",88
"31430","advanced","to",53
"97358","advancement","of",17
"66636","advances","in",25
"95658","advancing","to",17
"2758","advantage","of",463
"57041","advantages","of",30
"35858","advent","of",47
"43895","adventure","and",38
"29314","adventures","of",57
"130289","adventurous","and",13
"141142","adverse","effects",12
"204238","adversity","and",8
"236226","advertise","on",7
"242578","advertised","as",6
"94017","advertisement","for",18
"188016","advertisements","for",9
"126193","advertisers","to",13
"17130","advertising","and",96
"18425","advice","on",89
"186123","advisable","to",9
"105185","advise","you",16
"52145","advised","to",32
"43335","adviser","to",39
"234639","advisers","and",7
"278600","advises","the",6
"220459","advising","the",7
"75642","advisor","to",22
"141845","advisors","in",11
"29745","advisory","board",56
"21986","advocacy","group",76
"20965","advocate","for",79
"113307","advocated","for",15
"38855","advocates","for",44
"68724","advocating","for",25
"222490","aer","lingus",7
"193058","aerobic","exercise",8
"263507","aerobics","class",6
"282928","aerospace","company",6
"198423","aesthetic","of",8
"141561","aesthetically","pleasing",12
"162312","aesthetics","of",10
"231428","af","but",7
"95232","afc","championship",17
"266537","affable","and",6
"18115","affair","with",91
"39268","affairs","and",43
"12238","affect","the",131
"7394","affected","by",204
"50137","affecting","the",34
"37375","affection","for",45
"201722","affectionate","and",8
"280695","affectionately","known",6
"42925","affects","the",39
"174530","affidavit","filed",9
"104300","affiliate","of",16
"23353","affiliated","with",71
"101676","affiliation","with",16
"83496","affinity","for",20
"116818","affirm","that",14
"228520","affirmation","of",7
"66480","affirmative","action",25
"136976","affirmed","the",12
"192293","affixed","to",8
"227051","afflicted","with",7
"5834","afford","to",251
"18622","affordable","housing",89
"181948","afforded","to",9
"118736","affront","to",14
"101916","afghan","government",16
"22410","afghanistan","and",74
"277640","afghans","are",6
"79836","afl","cio",21
"224761","afloat","in",7
"102348","afoul","of",16
"5216","afraid","to",275
"20814","africa","and",80
"5577","african","american",260
"163934","africans","in",10
"171","after","the",3839
"22431","aftermath","of",74
"17285","afternoon","and",95
"138971","afterward","we",12
"111297","afterwards","i",15
"2020","again","and",605
"374","against","the",2222
"120397","agatha","christie",14
"198590","agave","syrup",8
"2453","age","of",511
"55811","aged","and",30
"28821","agencies","and",58
"19527","agency","and",85
"43016","agenda","for",39
"28908","agent","and",58
"22786","agents","and",73
"8484","ages","and",181
"27972","aggravated","assault",60
"150917","aggression","and",11
"38792","aggressive","and",44
"197433","aggressively","to",8
"230167","agility","and",7
"74487","aging","and",23
"261707","agitated","and",6
"2486","ago","and",505
"269377","agonizing","over",6
"180602","agony","and",9
"3514","agree","with",384
"155661","agreeable","to",10
"2061","agreed","to",596
"37145","agreeing","to",45
"10323","agreement","with",152
"55586","agreements","with",30
"39606","agrees","to",43
"111157","agricultural","products",15
"66716","agriculture","and",25
"35279","ah","i",48
"176885","aha","moment",9
"1848","ahead","of",654
"89741","ahh","i",19
"180862","ahmad","bradshaw",9
"106195","ahold","of",16
"29573","aid","to",57
"58513","aide","to",29
"47910","aided","by",35
"142637","aides","to",11
"282093","aiding","and",6
"77671","aids","and",22
"256896","ailments","and",6
"25022","aim","to",67
"5496","aimed","at",263
"40380","aiming","for",42
"12861","aims","to",125
"18913","ain","t",87
"38089","ain't","got",44
"128449","aint","no",13
"8269","air","force",185
"269643","airborne","division",6
"278768","airbus","a",6
"85256","aircraft","carrier",20
"66432","aired","on",25
"282141","airflow","to",6
"201552","airing","on",8
"262573","airlifted","to",6
"102202","airline","tickets",16
"50076","airlines","and",34
"168930","airplane","and",10
"21461","airport","and",77
"125987","airports","in",13
"139612","airs","at",12
"66533","airtight","container",25
"175210","airways","and",9
"156440","aisle","of",10
"185441","aisles","of",9
"45261","aka","the",37
"15525","akin","to",105
"51606","akron","ohio",33
"254236","akward","moment",6
"10118","al","qaeda",155
"50759","alabama","and",33
"90507","alameda","county",18
"273718","alan","menken",6
"42682","alarm","clock",40
"196789","alarmed","at",8
"241561","alarming","rate",7
"175400","alarms","and",9
"56507","alas","i",30
"88932","alaska","and",19
"186876","albany","and",9
"97159","albeit","a",17
